run_id,scenario,intensity,run,flowId,role,src,dst,dst_port,tx,rx,lost,rx_bytes,t_first_tx,t_last_rx,throughput_mbps,owd_ms,pdv_ms
blackhole_i1.0_r1,blackhole,1.0,1,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
blackhole_i1.0_r2,blackhole,1.0,2,1,relay_in,192.168.1.3,192.168.1.9,7070,2197,2197,0,1186380,3.0041,19.9992,0.5588510480694666,0.37637733272644514,0.08921984524351388
blackhole_i1.0_r2,blackhole,1.0,2,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
blackhole_i1.0_r3,blackhole,1.0,3,1,relay_in,192.168.1.3,192.168.1.9,7070,2197,2197,0,1186380,3.0041,19.9992,0.558753662555656,0.37010696404187526,0.07164451524806553
blackhole_i1.0_r3,blackhole,1.0,3,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
blackhole_i1.0_r4,blackhole,1.0,4,1,relay_in,192.168.1.3,192.168.1.9,7070,2197,2197,0,1186380,3.0041,19.9992,0.5588734252124987,0.38826581702321344,0.10130723714155666
blackhole_i1.0_r4,blackhole,1.0,4,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
blackhole_i1.0_r5,blackhole,1.0,5,1,relay_in,192.168.1.3,192.168.1.9,7070,2197,2197,0,1186380,3.0041,19.9992,0.5588507190072037,0.39404005461993624,0.10302776513427402
blackhole_i1.0_r5,blackhole,1.0,5,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
blackhole_i1.0_r6,blackhole,1.0,6,1,relay_in,192.168.1.3,192.168.1.9,7070,2197,2197,0,1186380,3.0041,19.9992,0.5585790458702639,0.3765716886663632,0.0934688211197087
blackhole_i1.0_r6,blackhole,1.0,6,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
blackhole_i1.0_r7,blackhole,1.0,7,1,relay_in,192.168.1.3,192.168.1.9,7070,2197,2197,0,1186380,3.0041,19.9992,0.5589027156515657,0.37939644970414205,0.08819754210286754
blackhole_i1.0_r7,blackhole,1.0,7,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
blackhole_i1.0_r8,blackhole,1.0,8,1,relay_in,192.168.1.3,192.168.1.9,7070,2197,2197,0,1186380,3.0041,19.9992,0.5588112343488179,0.37299590350477924,0.08266408739189805
blackhole_i1.0_r8,blackhole,1.0,8,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
blackhole_i1.0_r9,blackhole,1.0,9,1,relay_in,192.168.1.3,192.168.1.9,7070,2197,2197,0,1186380,3.0041,19.9992,0.5585606369129871,0.3646417842512517,0.074670459717797
blackhole_i1.0_r9,blackhole,1.0,9,2,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
