run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,monitor_owd_ms,monitor_pdv_ms,victim_startup_lag_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary,e2e_delay_mean_ms,e2e_delay_median_ms,e2e_delay_p95_ms,e2e_delivered_n
greypos_i0.4_r4,greypos,0.4,4,6,12.92723077110383,12.728560860641336,29921,0.8960261132572694,0.5174013921113689,0.1841104423082682,41.29806530865375,12.275377508507455,17.819999999999947,21.02423241974758,6.614011999265736,0.04189795966267,greypos,attack,40.9163,8.88308,186.356,669.0
greypos_i0.4_r5,greypos,0.4,5,8,10.48881303351931,10.216411659456252,18170,0.8060866864824098,0.5714285714285714,0.0220043476332017,8.196053497510873,4.027893142292195,18.86999999999972,10.150795870242968,5.388643549662113,0.0424592910434269,greypos,attack,7.90123,2.49362,32.3668,964.0
greypos_i0.4_r6,greypos,0.4,6,4,10.09434605303846,9.927644509537636,18613,0.8714767300309018,0.5885797950219619,0.0008895964041576,4.569425944945841,3.217508253024773,21.15,2.7170412232484,0.9568765254482984,0.0441119501089144,greypos,attack,4.39272,1.90551,16.586,804.0
greypos_i0.4_r7,greypos,0.4,7,7,11.471867395443166,11.25843255506525,17015,0.8352970054000982,0.5971492873218305,0.001620029455081,5.119653745094565,4.3194527023715725,14.610000000000234,7.307653116061853,4.788630838802144,0.0505051451034098,greypos,attack,5.06396,2.24836,19.8161,796.0
greypos_i0.4_r8,greypos,0.4,8,5,12.762779985978376,12.572861485551355,22656,0.8979785969084423,0.5884476534296029,0.0755053507728894,32.30387269226607,9.699265242009446,21.480000000000388,21.165547361347144,10.564626326003504,0.0584526897623245,greypos,attack,32.8656,0.72127,172.238,652.0
greypos_i0.4_r9,greypos,0.4,9,8,9.829366571351352,9.548323260975042,17849,0.786854170340328,0.5988472622478386,0.0017192734967377,5.159765089780794,3.4438105777511074,104.5900000000004,4.488039427465786,3.437545687059887,0.049436556572137,greypos,attack,5.22814,1.43063,20.4612,1039.0
greypos_i0.4_r10,greypos,0.4,10,7,11.4530319329655,11.24581072644927,27507,0.8820586820586821,0.5398550724637681,0.1993586660253327,34.434154410622554,9.915532365276356,22.4899999999999,17.694253058769846,9.586612948501337,0.0682902285505856,greypos,attack,26.5132,1.52401,112.066,745.0
greypos_i0.5_r1,greypos,0.5,1,4,12.617635509940987,12.4455035798911,21554,0.8906243543655221,0.4927536231884058,0.018181066898062,17.916423498596462,7.200860204440293,37.47999999999996,7.57202323119389,1.9549491917979012,0.0599124873779872,greypos,attack,18.0894,3.80189,89.6431,646.0
greypos_i0.5_r2,greypos,0.5,2,5,13.422699081487632,13.244120005815509,26647,0.9119126655487492,0.4991582491582491,0.043496115807125,27.91047448423403,13.285282659332886,20.98000000000022,12.665932558769107,7.53254531392498,0.0486656791345627,greypos,attack,28.0807,12.9799,101.233,593.0
greypos_i0.5_r3,greypos,0.5,3,5,10.427863244477368,10.235927603978825,17441,0.8584859224256743,0.5027322404371585,0.0096475684189801,11.221957518055191,5.658138468492112,15.859999999999983,4.790671777215809,1.9728241250066931,0.0570252222782444,greypos,attack,11.4155,2.8052,52.1801,644.0
greypos_i0.5_r4,greypos,0.5,4,6,12.946325596521216,12.751062975377767,29921,0.8990955257069022,0.445475638051044,0.1820367198533609,44.47781523305506,13.340845352564104,14.279999999999848,23.30128591472921,7.402024978609325,0.04189795966267,greypos,attack,41.3234,10.3972,229.3,576.0
greypos_i0.5_r5,greypos,0.5,5,8,10.632100888600649,10.367502439408389,18170,0.8115592478449238,0.4831061055127445,0.0132654428514002,8.548439669143335,3.7122311474990015,212.17,5.831902407581564,3.0769454579083595,0.0424592910434269,greypos,attack,9.19731,2.55433,37.4629,815.0
greypos_i0.5_r6,greypos,0.5,6,4,9.986918213247025,9.828857909792704,18613,0.8773922881116244,0.4831625183016105,0.0099934005845196,5.504481188914179,3.5197761146070423,21.15,3.015459370507919,1.0316239134906982,0.0441119501089144,greypos,attack,5.33376,1.9051,17.4882,660.0
greypos_i0.5_r7,greypos,0.5,7,7,11.44465009198605,11.239471843961196,17015,0.8406205227014476,0.5003750937734434,0.0025196383577886,7.051708456246631,4.649308299881709,14.610000000000234,4.093961444138875,3.069715793984718,0.0505051451034098,greypos,attack,6.79605,2.32798,26.9804,667.0
greypos_i0.5_r8,greypos,0.5,8,5,12.872466400910232,12.689919884725164,22656,0.9016595693875116,0.5027075812274369,0.0683726668523898,21.91036958385809,8.538314330501889,20.98000000000022,13.756959313716733,7.879855603721087,0.0584526897623245,greypos,attack,21.6598,0.77864,114.645,557.0
